iteration,label,operation,gas_used,duration_ms,policy_id,outcome
110,createTestPolicy_110,createTestPolicy,227513,0.636,110,
110,finalize_110,finalize,69676,0.502,110,no_payout
111,createTestPolicy_111,createTestPolicy,227513,0.666,111,
111,expirePolicy_111,expirePolicy,55069,0.466,111,expired
112,createTestPolicy_112,createTestPolicy,227513,0.663,112,
112,finalize_112,finalize,92730,0.578,112,payout
113,createTestPolicy_113,createTestPolicy,227513,0.654,113,
113,expirePolicy_113,expirePolicy,55069,0.475,113,expired
114,createTestPolicy_114,createTestPolicy,227513,0.670,114,
114,finalize_114,finalize,69676,0.526,114,no_payout
115,createTestPolicy_115,createTestPolicy,227513,0.697,115,
115,expirePolicy_115,expirePolicy,55069,0.473,115,expired
116,createTestPolicy_116,createTestPolicy,227513,0.660,116,
116,finalize_116,finalize,92730,0.601,116,payout
117,createTestPolicy_117,createTestPolicy,227513,0.708,117,
117,expirePolicy_117,expirePolicy,55069,0.472,117,expired
118,createTestPolicy_118,createTestPolicy,227513,0.711,118,
118,finalize_118,finalize,69676,0.547,118,no_payout
119,createTestPolicy_119,createTestPolicy,227513,0.690,119,
119,expirePolicy_119,expirePolicy,55069,0.457,119,expired
120,createTestPolicy_120,createTestPolicy,227513,0.691,120,
120,finalize_120,finalize,92730,0.605,120,payout
121,createTestPolicy_121,createTestPolicy,227513,0.790,121,
121,expirePolicy_121,expirePolicy,55069,0.473,121,expired
122,createTestPolicy_122,createTestPolicy,227513,0.659,122,
122,finalize_122,finalize,69676,0.563,122,no_payout
123,createTestPolicy_123,createTestPolicy,227513,0.675,123,
123,expirePolicy_123,expirePolicy,55069,0.469,123,expired
124,createTestPolicy_124,createTestPolicy,227513,0.657,124,
124,finalize_124,finalize,92730,0.582,124,payout
125,createTestPolicy_125,createTestPolicy,227513,0.653,125,
125,expirePolicy_125,expirePolicy,55069,0.457,125,expired
126,createTestPolicy_126,createTestPolicy,227513,0.728,126,
126,finalize_126,finalize,69676,0.527,126,no_payout
127,createTestPolicy_127,createTestPolicy,227513,0.718,127,
127,expirePolicy_127,expirePolicy,55069,0.463,127,expired
128,createTestPolicy_128,createTestPolicy,227513,0.701,128,
128,finalize_128,finalize,92730,0.634,128,payout
129,createTestPolicy_129,createTestPolicy,227513,0.706,129,
129,expirePolicy_129,expirePolicy,55069,0.488,129,expired
130,createTestPolicy_130,createTestPolicy,227513,0.675,130,
130,finalize_130,finalize,69676,0.501,130,no_payout
131,createTestPolicy_131,createTestPolicy,227513,0.655,131,
131,expirePolicy_131,expirePolicy,55069,0.454,131,expired
